LBESA,0.65,62,63,1055,1059,1
LBESA,0.75,61,63,1051,1059,2
LBESA,0.85,56,63,1031,1059,7
LBESA,0.95,55,63,1007,1059,8
LBESA,1.05,55,63,1027,1059,8
LBESA,1.15,45,63,922,1059,15
LBESA,1.25,41,63,779,1059,16
LBESA,1.35,40,63,754,1059,17
LBESA,1.45,35,63,707,1059,22
LBESA,1.55,31,63,665,1059,29
LBESA,1.65,30,63,641,1059,32
LBESA,1.75,29,63,631,1059,33
LBESA,1.85,29,63,631,1059,33
LBESA,1.95,26,63,552,1059,36
LBESA,2.05,26,63,552,1059,32
LBESA,2.15,22,63,484,1059,36
LBESA,2.25,21,63,467,1059,32
LBESA,2.35,23,63,501,1059,38
LBESA,2.45,19,63,433,1059,38
