DASA_ND,0.65,351,381,23209,24086,30
EDF,0.65,381,381,24086,24086,0
RMA,0.65,381,381,24086,24086,0
DASA_ND,0.75,334,381,22796,24086,46
EDF,0.75,381,381,24086,24086,0
RMA,0.75,381,381,24086,24086,0
DASA_ND,0.85,327,381,22533,24086,50
EDF,0.85,381,381,24086,24086,0
RMA,0.85,381,381,24086,24086,0
DASA_ND,0.95,310,381,21987,24086,69
EDF,0.95,381,381,24086,24086,0
RMA,0.95,379,381,23714,24086,0
DASA_ND,1.05,283,381,21002,24086,97
EDF,1.05,166,381,8979,24086,0
RMA,1.05,374,381,20028,24086,0
DASA_ND,1.15,258,381,20406,24086,122
EDF,1.15,104,381,5213,24086,0
RMA,1.15,368,381,17058,24086,0
DASA_ND,1.25,254,381,19549,24086,126
EDF,1.25,85,381,3653,24086,0
RMA,1.25,364,381,16694,24086,0
DASA_ND,1.35,244,381,18470,24086,126
EDF,1.35,55,381,2366,24086,0
RMA,1.35,355,381,16045,24086,0
DASA_ND,1.45,226,381,18067,24086,155
EDF,1.45,42,381,1708,24086,0
RMA,1.45,341,381,14623,24086,0
DASA_ND,1.55,198,381,16989,24086,181
EDF,1.55,31,381,1121,24086,0
RMA,1.55,321,381,10363,24086,0
DASA_ND,1.65,197,381,17107,24086,180
EDF,1.65,21,381,680,24086,0
RMA,1.65,301,381,9979,24086,0
DASA_ND,1.75,174,381,15863,24086,203
EDF,1.75,16,381,519,24086,0
RMA,1.75,280,381,9790,24086,0
DASA_ND,1.85,146,381,15790,24086,234
EDF,1.85,14,381,447,24086,0
RMA,1.85,250,381,7780,24086,0
DASA_ND,1.95,153,381,15324,24086,228
EDF,1.95,12,381,367,24086,0
RMA,1.95,230,381,6440,24086,0
DASA_ND,2.05,135,381,14762,24086,243
EDF,2.05,10,381,295,24086,0
RMA,2.05,230,381,6440,24086,0
DASA_ND,2.15,133,381,14706,24086,247
EDF,2.15,8,381,219,24086,0
RMA,2.15,230,381,6440,24086,0
DASA_ND,2.25,114,381,14403,24086,264
EDF,2.25,8,381,219,24086,0
RMA,2.25,230,381,6440,24086,0
DASA_ND,2.35,116,381,14405,24086,263
EDF,2.35,7,381,183,24086,0
RMA,2.35,230,381,6440,24086,0
DASA_ND,2.45,102,381,13409,24086,277
EDF,2.45,4,381,121,24086,0
RMA,2.45,230,381,6440,24086,0
