LBESA,0.65,83,92,5228,5487,9
LBESA,0.75,75,92,5032,5487,15
LBESA,0.85,72,92,5028,5487,18
LBESA,0.95,66,92,4796,5487,24
LBESA,1.05,61,92,4666,5487,29
LBESA,1.15,59,92,4613,5487,32
LBESA,1.25,54,92,4462,5487,37
LBESA,1.35,52,92,4359,5487,38
LBESA,1.45,47,92,4274,5487,44
LBESA,1.55,43,92,3886,5487,48
LBESA,1.65,39,92,3761,5487,49
LBESA,1.75,34,92,3465,5487,51
LBESA,1.85,34,92,3529,5487,53
LBESA,1.95,32,92,3436,5487,56
LBESA,2.05,31,92,3423,5487,58
LBESA,2.15,28,92,3392,5487,59
LBESA,2.25,25,92,3276,5487,62
LBESA,2.35,23,92,3235,5487,65
LBESA,2.45,21,92,3132,5487,66
